,username,date_t,text_t,favorites,hashtags,retweets,replies,author_id
0,bts_uttarakhand,2019-04-21 23:59:55+00:00,#PersonaBillboardNo1 Congratulations @BTS_twt for debuting #1 on billboard 200 with Map of the Soul : Persona! @BTS_twt #방탄소년단 #BTS,1,#PersonaBillboardNo1 #BTS #BTS,0,0,1067821869066158081
1,uuukorea4,2020-08-04 08:22:54+00:00,"요즘 살 빼려고 식단 관리 중인데 이 단백질쉐이크 진짜 좋아요. 맛이 질리지 않고 포만감이 좋아서 저녁마다 먹는데, 한끼 칼로리도 95kcal 밖에 안된다고 합니다. 몸 관리하시는 분들한테 식사 대용으로 딱입니다. 운동은 귀찮고 배고픈건 싫은 분들한테 완전 추천!!!",3521,,1358,60,1267644552535367680
2,hona_0731,2019-04-21 23:59:48+00:00,・ CHIMMYとも撮れた( ¨̮ )♡ ・ #방탄소년단 #지민 #19951013 #bt21 #chimmy #하라주쿠 #95z ・ http://bit.ly/2Ds31nl,0,#bt21 #chimmy #95z,0,0,3271884776
3,AmberBTS001,2019-04-21 23:59:44+00:00,"#방탄소년단, '빌보드 200' 1위..""11개월 만에 3연속 정상"" | 다음연예 @bts_twt #BTS",0,#BTS #BTS,0,0,921133392380481536
4,hokaphoka,2019-04-21 23:59:37+00:00,ㅋㅋㅋ 내 바이오에도 써놨듯이 여긴 #지민악개 박제하는 계정인데? ㅋ 다른멤버 악개들은 이미 짐주머니 그룹톡이 우르르 몰려다니며 커뮤에 박제 시키며 좆치질 쳐하잖아 더쿠에 정국악개 글싼거 지민악개들인거 더 티내지말구 방탄소년단 돈벌이로 줄세우는 박지민 악개야^^ ,1,,0,0,998423048448495616
5,JMAngelCalico,2019-04-21 23:59:35+00:00,Bebitos #JIMIN #BTS #방탄소년단 @BTS_twt,0,#JIMIN #BTS #BTS,0,0,3072328289
6,kkothana_jin,2019-04-21 23:59:30+00:00, #PersonaBillboardNo1 1년안에 3장의 앨범을 빌보드 200차트 1위! 그중 2장의 앨범을 함께 했다는게 너무 뿌듯합니다! #방탄소년단 누가 너희만큼 하니! 너무너무 축하해 @BTS_twt #BTS,3,#PersonaBillboardNo1 #BTS #BTS,3,0,1010386127532933120
7,Gaonnuri_JK,2019-04-21 23:59:23+00:00," [이슈메이커] 방탄소년단(BTS) 정국, '바람아 멈추어다오' http://me2.do/Fosxxf2k #정국 #Jungkook @bts_twt",5,#Jungkook,5,0,1032289280817655810
8,bullet_proofly,2019-04-21 23:59:02+00:00,아니 우리팬들 왜케귀여워 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아침에일어났다고 했을때 아무도 답 안해줬다는 그 말한마디에 이렇게 해주는거 ㅜㅜㅜㅜ 잘잤니 태형아 #BTS #방탄소년단 #v #태형 #GoodMorningTaehyung @BTS_twt,1820,#BTS #BTS #v #GoodMorningTaehyung,1637,0,845973570668810241
9,pjmsexie,2019-04-21 23:58:59+00:00,Me voy por una Hora de Twitter y vuelvo y veo qué Bangtan son él grupo del Siglo!! Primero 'Príncipes Del Pop'... Estoy tan Orgullosa de @BTS_twt y de Army qué estan logrando todo y se qué vamos por más!! #방탄소년단 #BTS,3,#BTS #BTS,1,0,917958105518002176
